created_index,created_time,zone_type,low,high,touches,score,label
22,2021-01-04 01:45:00,resistance,1.225665,1.226057,3,80,strong
56,2021-01-04 10:15:00,resistance,1.229908,1.2312,3,74,strong
81,2021-01-04 16:30:00,support,1.224024,1.224385,3,76,strong
92,2021-01-04 19:15:00,resistance,1.225149,1.225438,3,80,strong
153,2021-01-05 10:30:00,resistance,1.227347,1.228035,3,80,strong
163,2021-01-05 13:00:00,resistance,1.229908,1.2312,4,66,medium
168,2021-01-05 14:15:00,resistance,1.229908,1.2312,5,52,weak
171,2021-01-05 15:00:00,support,1.228463,1.229091,3,76,strong
175,2021-01-05 16:00:00,resistance,1.229908,1.2312,6,46,weak
180,2021-01-05 17:15:00,support,1.228463,1.229091,4,66,medium
183,2021-01-05 18:00:00,resistance,1.229872,1.2312,7,38,weak
191,2021-01-05 20:00:00,support,1.228463,1.229339,5,58,medium
197,2021-01-05 21:30:00,support,1.2279,1.229339,6,52,weak
203,2021-01-05 23:00:00,support,1.227377,1.229339,7,34,weak
208,2021-01-06 00:15:00,resistance,1.229872,1.2312,8,34,weak
237,2021-01-06 07:30:00,resistance,1.234283,1.235098,3,80,strong
249,2021-01-06 10:30:00,support,1.227377,1.229486,8,34,weak
270,2021-01-06 15:45:00,support,1.227377,1.229963,9,34,weak
272,2021-01-06 16:15:00,resistance,1.233811,1.235098,4,66,medium
288,2021-01-06 20:15:00,resistance,1.233811,1.235098,5,52,weak
294,2021-01-06 21:45:00,resistance,1.233629,1.235098,6,46,weak
296,2021-01-06 22:15:00,support,1.231786,1.232351,3,76,strong
304,2021-01-07 00:15:00,resistance,1.23249,1.233293,3,64,medium
315,2021-01-07 03:00:00,resistance,1.232438,1.233293,4,66,medium
330,2021-01-07 06:45:00,support,1.224024,1.2247,4,58,medium
344,2021-01-07 10:15:00,resistance,1.227347,1.228481,4,68,medium
348,2021-01-07 11:15:00,support,1.224024,1.22486,5,50,weak
353,2021-01-07 12:30:00,resistance,1.227347,1.228481,5,60,medium
357,2021-01-07 13:30:00,support,1.225221,1.225673,3,72,strong
362,2021-01-07 14:45:00,resistance,1.227347,1.228481,6,48,weak
364,2021-01-07 15:15:00,support,1.226266,1.226834,3,72,strong
371,2021-01-07 17:00:00,support,1.226169,1.226834,4,62,medium
373,2021-01-07 17:30:00,resistance,1.227347,1.228481,7,34,weak
377,2021-01-07 18:30:00,support,1.226153,1.226834,5,54,weak
